timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-01 03:26:10,Hôpital Laquintinie,B+,26,2,14,38,3.6,23,89.3,normale,"État satisfaisant, contrôle qualité OK",5,3,1,True,True,normal,pluvieux
2022-01-01 03:38:48,Hôpital Laquintinie,A+,37,7,0,30,4.1,2,82.4,normale,Hémoglobine dans les normes,5,3,1,True,True,normal,pluvieux
2022-01-01 12:44:28,Hôpital Laquintinie,O+,39,5,0,34,3.2,1,65.5,attention,Parfait pour transfusion immédiate,5,12,1,True,True,normal,ensoleillé
2022-01-02 16:10:44,Hôpital Laquintinie,O+,48,4,0,44,4.3,2,84.2,normale,"Bon état général, légère variation température",6,16,1,True,True,normal,pluvieux
2022-01-02 23:52:49,Hôpital Laquintinie,A+,25,9,0,16,4.2,12,100.0,faible,Parfait pour transfusion immédiate,6,23,1,True,True,normal,nuageux
2022-01-03 03:02:24,Hôpital Laquintinie,O+,17,9,0,8,3.5,1,64.9,critique,"URGENT: Stock critique - État satisfaisant, contrôle qualité OK",0,3,1,False,True,normal,nuageux
2022-01-04 13:11:30,Hôpital Laquintinie,O+,48,8,0,40,4.5,31,100.0,normale,Urgent: vérifier température stockage,1,13,1,False,True,urgence_médicale,ensoleillé
2022-01-04 15:02:20,Hôpital Laquintinie,O-,27,5,0,22,3.7,40,100.0,normale,Attention: proche expiration,1,15,1,False,True,normal,nuageux
2022-01-04 21:45:46,Hôpital Laquintinie,O-,94,13,0,81,3.1,5,97.8,normale,"État satisfaisant, contrôle qualité OK",1,21,1,False,True,normal,ensoleillé
2022-01-05 00:35:20,Hôpital Laquintinie,B+,27,12,0,15,4.3,1,66.8,faible,Attention: proche expiration,2,0,1,False,True,normal,ensoleillé
2022-01-05 18:17:42,Hôpital Laquintinie,O+,15,6,0,9,3.9,30,99.7,critique,"URGENT: Stock critique - Excellent état, conservation parfaite",2,18,1,False,True,normal,nuageux
2022-01-06 02:31:48,Hôpital Laquintinie,A-,38,10,0,28,4.0,4,89.0,normale,Urgent: vérifier température stockage,3,2,1,False,True,normal,ensoleillé
2022-01-06 07:19:21,Hôpital Laquintinie,A+,50,5,0,45,5.2,6,98.4,normale,Hémoglobine dans les normes,3,7,1,False,True,normal,ensoleillé
2022-01-06 14:02:49,Hôpital Laquintinie,AB+,45,6,18,57,3.5,5,96.7,normale,Hémoglobine dans les normes,3,14,1,False,True,normal,nuageux
2022-01-07 14:00:25,Hôpital Laquintinie,A+,63,19,0,44,3.9,30,100.0,normale,Urgent: vérifier température stockage,4,14,1,False,True,normal,orageux
