timestamp,hospital,blood_type,stock_initial,demand,supply,stock_final,temperature,days_to_expiry,quality_score,urgency,quality_comment,day_of_week,hour,month,is_weekend,is_holiday_season,special_event,weather
2022-01-01 05:21:18,Clinique des Spécialités,A+,17,9,13,21,3.5,10,99.2,normale,"Excellent état, conservation parfaite",5,5,1,True,True,normal,ensoleillé
2022-01-01 07:34:02,Clinique des Spécialités,A+,39,7,0,32,3.4,11,100.0,normale,"Bon état général, légère variation température",5,7,1,True,True,normal,ensoleillé
2022-01-01 23:52:57,Clinique des Spécialités,O+,4,7,0,0,3.8,6,98.6,critique,URGENT: Stock critique - Contrôle bactériologique négatif,5,23,1,True,True,normal,pluvieux
2022-01-02 05:09:40,Clinique des Spécialités,A+,24,6,0,18,3.7,10,97.9,faible,Contrôle bactériologique négatif,6,5,1,True,True,normal,orageux
2022-01-02 07:31:39,Clinique des Spécialités,O+,30,6,0,24,3.8,3,89.6,normale,Contrôle bactériologique négatif,6,7,1,True,True,normal,ensoleillé
2022-01-02 21:36:33,Clinique des Spécialités,AB+,37,6,0,31,3.3,6,100.0,normale,"Excellent état, conservation parfaite",6,21,1,True,True,normal,ensoleillé
2022-01-03 08:12:44,Clinique des Spécialités,O+,43,7,0,36,4.4,17,100.0,normale,"État satisfaisant, contrôle qualité OK",0,8,1,False,True,normal,ensoleillé
2022-01-04 08:51:33,Clinique des Spécialités,A+,56,9,0,47,4.3,12,100.0,normale,Hémoglobine dans les normes,1,8,1,False,True,normal,ensoleillé
2022-01-05 13:54:39,Clinique des Spécialités,O-,25,10,0,15,4.3,2,89.9,faible,"Excellent état, conservation parfaite",2,13,1,False,True,normal,orageux
2022-01-05 23:00:11,Clinique des Spécialités,A+,32,16,24,40,4.1,12,100.0,normale,Parfait pour transfusion immédiate,2,23,1,False,True,normal,pluvieux
2022-01-06 14:33:10,Clinique des Spécialités,O+,52,15,14,51,4.7,12,93.5,normale,Hémoglobine dans les normes,3,14,1,False,True,normal,ensoleillé
2022-01-06 16:39:07,Clinique des Spécialités,A+,53,8,0,45,3.6,34,97.3,normale,"État satisfaisant, contrôle qualité OK",3,16,1,False,True,normal,nuageux
2022-01-07 06:17:49,Clinique des Spécialités,A+,68,15,0,53,3.9,23,100.0,normale,Attention: proche expiration,4,6,1,False,True,normal,ensoleillé
2022-01-07 06:57:25,Clinique des Spécialités,A+,54,8,0,46,4.3,11,100.0,normale,Parfait pour transfusion immédiate,4,6,1,False,True,normal,nuageux
2022-01-07 08:26:16,Clinique des Spécialités,O+,31,9,0,22,3.9,11,100.0,normale,"Bon état général, légère variation température",4,8,1,False,True,normal,ensoleillé
2022-01-07 11:02:31,Clinique des Spécialités,O+,77,9,0,68,3.8,5,100.0,normale,Hémoglobine dans les normes,4,11,1,False,True,normal,nuageux
2022-01-07 11:21:37,Clinique des Spécialités,A+,87,11,0,76,3.8,25,100.0,normale,Urgent: vérifier température stockage,4,11,1,False,True,normal,ensoleillé
2022-01-08 10:51:37,Clinique des Spécialités,O+,44,7,0,37,4.8,3,80.0,normale,Contrôle bactériologique négatif,5,10,1,True,True,normal,ensoleillé
2022-01-08 13:36:34,Clinique des Spécialités,A+,25,6,0,19,3.2,12,100.0,faible,"État satisfaisant, contrôle qualité OK",5,13,1,True,True,normal,pluvieux
